Genero,Edad,Destino,Tiempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,39,Medellin,10,2124413,1,2,5,vida nocturna,deporte
10,35,Medellin,3,649502,0,4,5,musica,deporte
10,43,Medellin,3,1836973,1,3,5,vida nocturna,deporte
10,39,Medellin,4,1066994,1,3,5,musica,cultura
10,33,Medellin,5,2054220,1,3,5,musica,deporte
9,25,Medellin,3,690550,0,4,7,vida nocturna,deporte
9,40,Medellin,5,1398741,1,3,8,musica,cultura
9,30,Medellin,9,2604049,1,3,7,musica,cultura
10,19,Medellin,8,1360352,0,3,5,vida nocturna,deporte
9,18,Medellin,10,1007508,0,3,8,musica,deporte
10,32,Medellin,6,1708247,0,3,5,musica,cultura
10,25,Medellin,3,871465,0,3,5,vida nocturna,deporte
9,34,Medellin,5,1936541,1,3,8,vida nocturna,cultura
9,30,Medellin,6,1997645,0,3,7,musica,deporte
10,30,Medellin,3,1079042,1,3,5,musica,deporte
10,40,Medellin,6,1330228,1,3,5,musica,cultura
9,40,Medellin,4,1786327,1,3,7,vida nocturna,deporte
10,23,Medellin,10,2677913,1,3,5,vida nocturna,deporte
10,34,Medellin,5,2505682,1,2,5,vida nocturna,cultura
10,25,Medellin,4,1474559,1,2,5,musica,cultura
9,37,Medellin,5,2865094,1,3,8,vida nocturna,cultura
9,38,Medellin,10,1286568,1,2,8,musica,cultura
9,33,Medellin,4,687836,0,4,7,vida nocturna,cultura
9,38,Medellin,6,1099763,1,3,8,musica,cultura
9,44,Medellin,6,2453525,1,3,7,vida nocturna,deporte
9,43,Medellin,6,2418212,1,2,8,vida nocturna,deporte
9,44,Medellin,3,1455887,1,2,7,musica,cultura
10,45,Medellin,9,1765083,1,3,5,vida nocturna,deporte
10,24,Medellin,3,1797458,1,3,5,vida nocturna,deporte
9,21,Medellin,6,2627239,1,3,7,musica,deporte
10,37,Medellin,4,1766086,1,2,5,musica,cultura
9,18,Medellin,4,1331726,1,3,7,vida nocturna,deporte
9,37,Medellin,9,1332917,1,3,8,musica,deporte
9,31,Medellin,6,1911132,0,3,8,musica,cultura
10,32,Medellin,4,1578587,1,3,5,vida nocturna,deporte
