Genero,Edad,Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,33,Medellin,5,2287190,1,2,5,musica,cultura
9,26,Medellin,6,2596792,1,2,7,musica,deporte
9,22,Medellin,7,2762222,1,2,8,musica,deporte
10,27,Medellin,9,1472098,0,3,5,vida nocturna,cultura
10,35,Medellin,6,2060358,0,3,5,musica,deporte
10,28,Medellin,8,2836508,1,2,5,musica,cultura
9,29,Medellin,10,2488137,0,3,7,musica,deporte
10,28,Medellin,9,2377128,0,3,5,musica,deporte
10,31,Medellin,4,1622439,1,2,5,musica,cultura
9,27,Medellin,7,2191011,0,3,7,musica,deporte
9,20,Medellin,4,1430737,1,2,8,vida nocturna,cultura
9,33,Medellin,4,804187,0,3,7,musica,cultura
10,22,Medellin,3,1709380,1,3,5,vida nocturna,deporte
9,22,Medellin,6,1579515,0,3,8,musica,deporte
10,28,Medellin,4,811866,0,3,5,vida nocturna,cultura
10,30,Medellin,10,2642884,1,3,5,vida nocturna,cultura
10,27,Medellin,10,1827445,0,3,5,musica,deporte
9,33,Medellin,9,1653065,0,3,7,musica,deporte
10,33,Medellin,8,2568553,1,3,5,vida nocturna,cultura
9,20,Medellin,9,1222841,0,3,7,vida nocturna,deporte
9,18,Medellin,9,2587199,1,3,7,musica,deporte
10,35,Medellin,6,1119831,0,3,5,vida nocturna,deporte
10,22,Medellin,9,1468761,0,3,5,vida nocturna,deporte
10,28,Medellin,5,1241389,1,3,5,vida nocturna,cultura
9,20,Medellin,8,2279758,0,3,8,vida nocturna,deporte
10,24,Medellin,7,2936727,1,2,5,vida nocturna,cultura
10,30,Medellin,9,2098992,0,3,5,vida nocturna,deporte
9,29,Medellin,3,1608541,1,2,7,vida nocturna,cultura
10,27,Medellin,7,1101333,0,3,5,vida nocturna,cultura
10,29,Medellin,3,781381,0,3,5,vida nocturna,cultura
9,34,Medellin,5,1733244,1,3,8,vida nocturna,deporte
9,21,Medellin,8,1182968,0,3,7,vida nocturna,deporte
9,28,Medellin,5,1255517,1,3,8,musica,cultura
9,25,Medellin,8,1468840,0,3,8,vida nocturna,deporte
10,30,Medellin,8,1727495,0,3,5,vida nocturna,deporte
10,34,Medellin,9,2687262,1,3,5,musica,cultura
9,33,Medellin,6,1368382,0,3,7,vida nocturna,deporte
10,35,Medellin,8,2851115,1,3,5,vida nocturna,deporte
9,24,Medellin,3,1366313,1,2,7,vida nocturna,cultura
9,31,Medellin,8,2094617,0,3,7,musica,deporte
9,25,Medellin,10,2502341,1,2,8,musica,cultura
9,27,Medellin,3,1617654,1,2,8,vida nocturna,cultura
9,21,Medellin,4,1939810,1,3,7,musica,cultura
10,30,Medellin,7,1811821,0,3,5,musica,cultura
9,33,Medellin,10,2651570,1,3,7,vida nocturna,cultura
10,21,Medellin,7,1329604,0,3,5,musica,cultura
10,26,Medellin,7,2479132,0,3,5,vida nocturna,deporte
9,34,Medellin,8,1176118,0,3,8,vida nocturna,deporte
