Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
Medellin,16,1485340,hotel,taxi,saludable,musica,cultura
Medellin,16,1826892,hotel,bus,saludable,vida nocturna,cultura
Medellin,20,1722645,hotel,taxi,fast food,vida nocturna,cultura
Medellin,16,1715610,hotel,bus,saludable,vida nocturna,cultura
Medellin,3,1159892,hotel,bus,saludable,vida nocturna,cultura
Medellin,14,1207485,hotel,taxi,saludable,musica,deporte
Medellin,14,1389207,hotel,taxi,saludable,musica,cultura
Medellin,6,1214029,hotel,bus,fast food,vida nocturna,deporte
Medellin,3,1853932,hotel,taxi,saludable,musica,cultura
Medellin,4,1188986,hotel,bus,saludable,musica,deporte
Medellin,15,1341828,hotel,taxi,saludable,vida nocturna,deporte
Medellin,8,950025,hostal,bus,fast food,vida nocturna,cultura
Medellin,8,1496502,hotel,taxi,saludable,vida nocturna,cultura
Medellin,4,856272,hostal,bus,fast food,vida nocturna,deporte
Medellin,11,1641208,hotel,bus,fast food,vida nocturna,deporte
Medellin,19,1968131,hotel,bus,fast food,vida nocturna,deporte
Medellin,3,1689284,hotel,bus,fast food,vida nocturna,deporte
Medellin,16,1286233,hotel,taxi,saludable,vida nocturna,deporte
Medellin,10,1423017,hotel,bus,fast food,musica,cultura
Medellin,16,1898850,hotel,taxi,fast food,vida nocturna,deporte
Medellin,5,838811,hostal,bus,fast food,vida nocturna,deporte
Medellin,12,1666404,hotel,bus,saludable,musica,cultura
Medellin,10,1817119,hotel,taxi,saludable,musica,cultura
Medellin,7,745902,hostal,pie,fast food,musica,cultura
Medellin,5,795614,hostal,pie,saludable,vida nocturna,deporte
Medellin,14,1379935,hotel,bus,saludable,musica,deporte
Medellin,20,1592449,hotel,bus,saludable,vida nocturna,cultura
Medellin,18,1574107,hotel,bus,fast food,vida nocturna,cultura
Medellin,8,1014444,hotel,taxi,saludable,musica,deporte
Medellin,4,1700967,hotel,bus,saludable,vida nocturna,cultura
Medellin,4,1250288,hotel,bus,fast food,musica,deporte
Medellin,4,1055392,hotel,taxi,fast food,vida nocturna,deporte
Medellin,5,1382077,hotel,bus,saludable,vida nocturna,deporte
Medellin,12,1572056,hotel,taxi,saludable,vida nocturna,deporte
Medellin,8,1306882,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1305372,hotel,taxi,fast food,musica,cultura
Medellin,8,734175,hostal,bus,fast food,musica,cultura
Medellin,3,1823300,hotel,taxi,saludable,musica,deporte
Medellin,15,1607352,hotel,bus,saludable,vida nocturna,deporte
Medellin,4,728352,hostal,bus,saludable,vida nocturna,cultura
Medellin,19,1305124,hotel,bus,saludable,vida nocturna,cultura
Medellin,5,913381,hostal,pie,fast food,vida nocturna,cultura
Medellin,4,932551,hostal,pie,fast food,musica,cultura
Medellin,16,1922214,hotel,taxi,saludable,vida nocturna,deporte
Medellin,10,1633508,hotel,bus,saludable,musica,deporte
Medellin,15,1412514,hotel,bus,saludable,musica,cultura
Medellin,10,1701971,hotel,taxi,saludable,vida nocturna,deporte
Medellin,2,1180390,hotel,taxi,fast food,musica,deporte
Medellin,14,1033064,hotel,bus,fast food,vida nocturna,deporte
Medellin,13,1375041,hotel,taxi,fast food,vida nocturna,deporte
Medellin,16,1952925,hotel,taxi,fast food,vida nocturna,cultura
Medellin,10,1606052,hotel,taxi,fast food,vida nocturna,cultura
Medellin,10,1562577,hotel,taxi,fast food,musica,deporte
Medellin,9,1297113,hotel,bus,fast food,musica,deporte
Medellin,12,1763501,hotel,taxi,fast food,vida nocturna,cultura
Medellin,15,1387845,hotel,bus,saludable,musica,deporte
Medellin,16,1478106,hotel,taxi,fast food,musica,cultura
Medellin,3,1209969,hotel,taxi,fast food,musica,cultura
Medellin,8,1940590,hotel,bus,fast food,musica,deporte
Medellin,4,1527774,hotel,taxi,fast food,musica,deporte
Medellin,18,1194143,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1393262,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1256094,hotel,bus,fast food,vida nocturna,cultura
Medellin,3,1226665,hotel,taxi,saludable,musica,cultura
Medellin,17,1810976,hotel,bus,saludable,vida nocturna,cultura
Medellin,3,1824181,hotel,taxi,fast food,musica,deporte
Medellin,7,1890498,hotel,bus,saludable,vida nocturna,cultura
Medellin,6,1964432,hotel,taxi,saludable,vida nocturna,deporte
Medellin,12,1999061,hotel,bus,saludable,vida nocturna,cultura
Medellin,18,1397014,hotel,taxi,saludable,musica,cultura
Medellin,6,1123123,hotel,bus,fast food,vida nocturna,deporte
Medellin,20,1185426,hotel,taxi,fast food,musica,cultura
Medellin,7,1179224,hotel,bus,saludable,musica,deporte
Medellin,4,1859355,hotel,bus,saludable,musica,cultura
Medellin,15,1814333,hotel,taxi,fast food,musica,cultura
Medellin,16,1109114,hotel,taxi,fast food,vida nocturna,cultura
Medellin,17,1890329,hotel,taxi,fast food,musica,deporte
Medellin,16,1182868,hotel,taxi,saludable,musica,deporte
Medellin,19,1711859,hotel,taxi,saludable,musica,cultura
Medellin,9,694483,hostal,pie,saludable,musica,deporte
