Género,Edad,Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,34,Medellin,3,933776,0,3,5,musica,cultura
9,35,Medellin,6,1679048,0,3,8,vida nocturna,deporte
9,32,Medellin,5,1422494,1,3,7,vida nocturna,deporte
10,29,Medellin,9,638547,0,4,5,musica,cultura
10,26,Medellin,6,1936564,0,3,5,musica,cultura
9,32,Medellin,6,1042930,0,3,8,musica,cultura
9,35,Medellin,8,1556660,0,3,7,musica,deporte
9,27,Medellin,7,604120,0,4,8,vida nocturna,deporte
9,35,Medellin,5,865213,0,3,8,vida nocturna,cultura
10,26,Medellin,6,1607634,0,3,5,vida nocturna,deporte
9,21,Medellin,7,853360,0,3,8,musica,cultura
10,21,Medellin,3,1725293,1,3,5,vida nocturna,deporte
10,30,Medellin,4,1739980,1,3,5,musica,deporte
9,23,Medellin,3,1716219,1,3,7,musica,deporte
9,18,Medellin,10,2779303,1,3,7,musica,cultura
10,20,Medellin,7,1029119,0,3,5,musica,cultura
9,35,Medellin,10,2628650,1,3,8,vida nocturna,cultura
9,25,Medellin,10,1764152,0,3,8,vida nocturna,cultura
10,20,Medellin,5,654032,0,4,5,vida nocturna,cultura
9,31,Medellin,8,1899256,0,3,8,musica,cultura
10,30,Medellin,3,1398942,1,3,5,vida nocturna,cultura
9,28,Medellin,7,1447865,0,3,8,musica,cultura
9,31,Medellin,8,1829779,0,3,8,musica,cultura
9,32,Medellin,6,743167,0,3,8,vida nocturna,deporte
9,21,Medellin,7,1655166,0,3,8,vida nocturna,cultura
9,33,Medellin,8,822108,0,3,8,vida nocturna,deporte
9,32,Medellin,6,568651,0,4,8,musica,deporte
9,22,Medellin,4,761863,0,3,8,vida nocturna,deporte
10,26,Medellin,10,2668034,1,3,5,musica,deporte
10,18,Medellin,5,1430428,1,2,5,vida nocturna,cultura
10,27,Medellin,9,1779441,0,3,5,musica,cultura
9,27,Medellin,10,2340685,0,3,8,vida nocturna,cultura
10,35,Medellin,4,565439,0,4,5,musica,deporte
9,20,Medellin,4,562846,0,4,8,musica,cultura
9,32,Medellin,7,1117538,0,3,8,musica,deporte
10,35,Medellin,8,1766939,0,3,5,musica,deporte
10,24,Medellin,3,1423675,1,3,5,musica,cultura
10,34,Medellin,3,683076,0,4,5,musica,cultura
9,33,Medellin,3,1422997,1,3,8,vida nocturna,cultura
10,28,Medellin,5,1804777,1,3,5,vida nocturna,cultura
10,27,Medellin,4,1796944,1,3,5,musica,cultura
10,29,Medellin,9,1668229,0,3,5,musica,cultura
10,25,Medellin,6,1755291,0,3,5,musica,cultura
9,23,Medellin,8,899073,0,3,7,vida nocturna,cultura
10,22,Medellin,9,1997873,0,3,5,vida nocturna,cultura
10,33,Medellin,9,1511109,0,3,5,vida nocturna,cultura
10,33,Medellin,8,1001171,0,3,5,vida nocturna,cultura
